,transcriptomic,proteomic,genomic,rna_prot_corr,score
USP7,10.734759259259256,0.03578518518518519,0.017204301075268817,0.49030856324062516,0.6604527296937417
ANKRD17,11.314692592592596,0.032683333333333335,0.012903225806451613,0.3514008004574042,0.6600088770528184
LAMA2,6.788348148148146,0.19652564102564102,0.025806451612903226,,0.6586773191300488
SPTB,6.786044444444444,0.19104259259259257,0.02795698924731183,0.1983228511530398,0.6586773191300488
POLR2B,10.980170370370372,0.07138888888888889,0.008602150537634409,0.05744344280522601,0.6582334664891256
STAU1,11.990753703703707,0.049279629629629625,0.008602150537634409,0.5004097658573371,0.6577896138482023
VCL,12.399820370370369,0.018092592592592598,0.012903225806451613,0.6526014865637506,0.6560142032845095
SPEN,11.587335185185184,0.02258235294117647,0.015053763440860216,,0.6553484243231247
COL12A1,11.059540740740742,0.3036074074074073,0.0064516129032258064,0.5810939584524489,0.6546826453617399
CCAR1,9.95787037037037,0.06780555555555555,0.012903225806451613,0.32570992948351435,0.6542387927208166
SETD1A,10.602288888888886,0.03936896551724137,0.015053763440860216,,0.654016866400355
NUP210,11.224183333333329,0.03168518518518518,0.012903225806451613,0.6073947017343243,0.6537949400798934
GTF3C1,10.773385185185187,0.07741481481481483,0.008602150537634409,0.38174194777968357,0.6533510874389702
TRIP12,11.02152037037037,0.06726851851851852,0.008602150537634409,0.6259958071278826,0.6524633821571237
FBN3,7.876424074074071,0.30381951219512204,0.012903225806451613,,0.6524633821571237
OAS3,11.786014814814814,0.11817962962962962,0.0064516129032258064,0.7867883894775515,0.648912561029738
ANKHD1,11.160290740740741,0.059210638297872355,0.008602150537634409,,0.6480248557478916
MAP4,12.59342222222222,0.023759259259259258,0.010752688172043012,0.7638415065520399,0.6462494451841987
INSR,10.253712962962966,0.06570000000000001,0.010752688172043012,,0.6458055925432755
NDRG1,12.957312962962966,0.08652222222222224,0.0064516129032258064,0.7645130550790927,0.6453617399023525
MKI67,11.406322222222222,0.05364999999999999,0.008602150537634409,0.6785972936916331,0.6453617399023523
MYO18A,9.888698148148148,0.0844962962962963,0.010752688172043012,0.5084429197636744,0.6449178872614292
PSME4,10.363068518518523,0.09268085106382977,0.008602150537634409,,0.644474034620506
TNC,9.450262962962963,0.352712962962963,0.008602150537634409,0.5297884505431674,0.6435863293386594
ELN,9.005396296296297,0.161816,0.010752688172043012,,0.6426986240568131
GNPAT,10.237540740740743,0.052724074074074076,0.012903225806451613,0.25222031637125975,0.6426986240568131
COL16A1,8.641227777777775,0.13897777777777776,0.012903225806451613,,0.6426986240568131
PLEC,13.978222222222225,0.07928703703703704,0.0064516129032258064,0.5249094720792834,0.6413670661340435
